ticker,horizon,model,r2,rmse_logdiff,correlation,directional_accuracy,sharpe_ratio,max_drawdown,calmar_ratio,total_return,annual_return,volatility,n_train,n_test
NKE,5,GARCH,0.3711752468086785,0.3572746742319936,0.6682293112828415,0.738359201773836,7.669757801595482,-0.86651228594622,33.59912386881072,9.731578798574884e+17,29.11405362935338,3.7959547592620204,1353,451
NKE,5,HAR-RV,0.10063732563885608,0.43267346786585836,0.33459063900329755,0.5874125874125874,4.167784402119794,-0.08721237283495423,34.52702581187101,109.61054866436153,3.0111838479869832,0.7224903107884978,1353,429
NKE,5,Linear,0.45203073653120585,0.33351511174585285,0.6803211162793446,0.753880266075388,7.7370073464676565,-0.6450707827975123,35.287797610570166,573545617947699.4,22.76312722785068,2.9421100702771374,1353,451
NKE,5,NeuralNetwork,0.4702986154443999,0.3279087241743993,0.6982445691189949,0.7427937915742794,7.548274167008306,-0.6261085408107172,34.11732728638545,91200476393298.27,21.361150003640464,2.8299382787399168,1353,451
NKE,5,RandomForest,0.45722366390704794,0.33193104249337874,0.7068871538598951,0.7760532150776053,9.435071244771242,-0.4055595374403951,43.69817537516798,1797548523937.6914,17.72221179214239,1.8783336481919777,1353,451
NKE,20,EGARCH,0.5527272274519726,0.29097456103964225,0.7977422456650891,0.78125,9.535794068904918,-0.8244434715795794,39.05698514327108,3.213731260598443e+20,32.200276420950466,3.3767797614203645,1344,448
NKE,20,GARCH,0.4879351097600614,0.3113373973820478,0.748261461441198,0.7477678571428571,9.068720278577858,-0.7465571760682271,41.39585447024077,3.749358745652076e+19,30.904372214234247,3.4077985939467768,1344,448
NKE,20,HAR-RV,0.1465019599085262,0.40772594131328144,0.4019693394133844,0.6971830985915493,6.137927725982532,-0.17865367056638592,33.97663396463122,12331.051176138093,6.070050371271905,0.9889413238896095,1344,426
NKE,20,Linear,0.5863361787671124,0.279828897005396,0.7782698554008495,0.7611607142857143,9.11591606791398,-0.4171268289158683,76.79641685233732,2.496005684297723e+20,32.03384583371661,3.5140566888794327,1344,448
NKE,20,NeuralNetwork,0.5911587884739558,0.27819295277903533,0.7846624760719076,0.7477678571428571,9.511080482642223,-0.2980343376650091,91.7960924221182,8.167604465191369e+17,27.35838760526196,2.876475249598737,1344,448
NKE,20,RandomForest,0.6773325344745847,0.24714189923209362,0.8437917424345736,0.796875,10.060848511027846,-0.09849181305421195,273.57323842155324,7.755579791513208e+17,26.94472425525098,2.678176122592092,1344,448
NVDA,1,EGARCH,-0.23916041017441403,0.4308961217852467,0.4281388904370994,0.6401766004415012,5.1063210639038195,-0.680381857973777,33.13603115879179,3298056171277.9634,22.545154445695726,4.415146279200037,1354,453
NVDA,1,GARCH,-0.21316305555725568,0.42635210208966207,0.42156104511512466,0.6401766004415012,5.013999060915431,-0.718582527982954,30.05555533804546,1084046465161.5833,21.59739693474427,4.307419421574667,1354,453
NVDA,1,HAR-RV,0.006964198158288859,0.3869868597515723,0.08437885014387038,0.5290023201856149,-0.14161894437038397,-0.1443244464453383,-0.13272823807845804,-0.04832262406321064,-0.019155929488338528,0.13526389123646446,1354,431
NVDA,1,Linear,0.2437945164929577,0.33661133136569776,0.49392093530627046,0.6423841059602649,5.567556916121732,-0.4356221440861215,24.426984364439893,12191748.293000948,10.640935302395471,1.9112396088099215,1354,453
NVDA,1,NeuralNetwork,0.20778041550623738,0.3445336202854458,0.45833338664063555,0.6534216335540839,5.072336670837975,-0.37591373010709683,25.16630613232776,1641845.7721965269,9.460360011220434,1.8650891344831682,1354,453
NVDA,1,RandomForest,0.2518038253589663,0.3348239859058865,0.5056607824724667,0.6512141280353201,5.408533379023284,-0.3670904717103931,26.5223429994413,3276049.7733488884,9.73609940252975,1.8001366951511673,1354,453
NVDA,5,EGARCH,0.019413334925380443,0.3602892096822824,0.6165996397479072,0.7190265486725663,7.376950950490538,-0.5903735734483893,50.84390362340947,1.9865530391819423e+18,30.01689707021775,4.06901133973539,1352,452
NVDA,5,GARCH,0.07864448394589374,0.3492383150494218,0.6003593927886923,0.7101769911504425,7.150870521731595,-0.6507313480397477,40.38220033527033,1.6416622969317392e+16,26.27796366098162,3.6747922621620015,1352,452
NVDA,5,HAR-RV,0.06318300846969216,0.34777249937871285,0.25576402642927015,0.6186046511627907,1.9144788444867813,-0.2680897909875695,2.5438863023409564,1.8762637918493716,0.6819899470907281,0.3562274657955548,1352,430
NVDA,5,Linear,0.4145058868175545,0.2784001920481357,0.6482130541770582,0.7411504424778761,7.298675239661827,-0.5311114916942066,34.53834074156437,1453778129640.0498,18.34370967189504,2.5132930387439694,1352,452
NVDA,5,NeuralNetwork,0.31801994107019027,0.30046514676960856,0.5784839768129832,0.7057522123893806,7.032695772409684,-0.548015152129804,31.11149095313419,176520269878.7014,17.049568447666854,2.4243290196847216,1352,452
NVDA,5,RandomForest,0.42154696733697494,0.27672112540522825,0.6595913101971516,0.7477876106194691,7.631667344758187,-0.4465216777154388,29.58913340548968,1399524019.8700926,13.212189490365187,1.731232362930492,1352,452
NVDA,20,EGARCH,0.3979991634524416,0.30309894265249526,0.7409181806460016,0.7527839643652561,8.753624297069123,-0.16534181262532718,230.4576987748347,3.3430542285064394e+23,38.10429364889281,4.352973392021273,1343,449
NVDA,20,GARCH,0.33705292763267647,0.31807189953604653,0.7045944135913451,0.7416481069042317,8.184768549007162,-0.29603466227872194,112.44278747487942,4.4975519839467235e+20,33.286962615804036,4.066940001601127,1343,449
NVDA,20,HAR-RV,0.14452394941168634,0.3642532576608147,0.3885764739947125,0.6533957845433255,5.827275575868382,-0.2591883840599337,18.46404623459821,1834.225974206121,4.785666306753414,0.8212527869063844,1343,427
NVDA,20,Linear,0.6889692478031006,0.21786503654013956,0.8309265152882415,0.8418708240534521,9.341589827701378,-0.10614820059177545,290.98704054358427,1.1436387588078074e+20,30.88775074922748,3.3064768758775425,1343,449
NVDA,20,NeuralNetwork,0.6115407482606571,0.24347737374541945,0.7885468613587607,0.8307349665924276,9.059230748153718,-0.2250585044276064,123.43537759147188,1.4340998213080635e+18,27.78018147419354,3.0665055617283152,1343,449
NVDA,20,RandomForest,0.6248360507089197,0.23927450334667338,0.8127505461578173,0.8173719376391982,9.487334608319554,-0.06002706389608734,370.42393790411745,1098406343305064.4,22.235461389210748,2.3436995011973347,1343,449
